word,part_of_speech,chinese_meaning,english_definition,example_sentence,synonyms,antonyms,memory_hint,difficulty_level,frequency_level,source_book_chapter
quarrel,,爭吵、分歧,,,,,,1,1,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
querulous,adj.,愛發牢騷的、愛抱怨的,complaining; irritable,He became increasingly dissatisfied and querulous 愛抱怨 in his old age.,crabby;cranky;fussy;grouchy;grumpy,,"源自 ""quarrel"" 爭吵 and ""quarrelsome""",3,3,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
quixotic,adj.,不切實際的、空想的 抱怨,"noble, unselfish or gallant in an extravagant or impractical way 1rail at","Mumey had announced his candidacy in the election. It seemed a quixotic adventure, given Mumey's lack of name recognition outside the town. 這似乎是個唐吉軻德式的空想的冒險，因為在城鎮外沒人認得他的名字",impractical;visionary;chimerical,,源自Don Quixote(唐吉訶德),4,4,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rampant,adj.,蔓延的；猖獗的,flourishing excessively; unrestrained,the mayor promised to put a stop to the rampant crime that plagued the city 市長承諾使如瘟疫般蔓延的猖獗犯罪停止,,,近似LOL rampage 暴跳；橫衝直撞,2,2,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rancor,,仇恨、激烈的憎惡,bitter deep-seated ill will,She answered her accusers calmly and without rancor. 她平靜且沒怨恨地回答了她的原告,,,(1) rancor音讀「怨恨」 (2) 音讀「亂看」 → 招致怨恨,5,5,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rant,v.,生氣叫喊；誇誇其談；責罵,"(derog ) speak loudly, violently or theatrically","“You can rant and rave 咆哮 all you want,” she said, “but it's not going to change things.”",,,音讀「亂」 -> 叫罵,3,3,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rapprochement,n.,（法文）（國家間）友好、和睦,establishment of or state of having cordial relations,The recent trade agreements between the two countries indicate a promising rapprochement in their relations. 最近兩國之間的貿 易協議表明他們的關系有望改善,,,,2,2,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rarified,,只有一小群人知道的；稀薄的,,"Because of his specialized knowledge, he could only communicate with a rarified group of experts. 因為他的專業知識，他只能 與一群少數的專家溝通。",,,rar(=rare) → 很少的 → 只有一小群人知道的,4,4,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rationale,n.,根本原因、邏輯依據,fundamental reason for or logical basis of sth,The rationale for starting the school day an hour later is that kids will supposedly get an extra hour of sleep. 晚一個小時上課的邏 輯依據是小孩理論上會得到額外一小時睡眠,,,,5,5,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rebuff,n.,回絕、斷然拒絕,"unkind or contemptuous refusal or rejection (of an offer, request, friendly gesture, etc); snub",rebuffed the bid 斷然回絕這個出價,snub;reject sharply,,re(回) + buff(音讀「叭噗啦」) → 斷然回絕,4,4,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rebuke,v.,斥責、指責,"sb express sharp or severe disapproval to sb, esp officially; reprove sb",he wrote me a scathing 苛刻 rebuke 斥責.,admonish;chide;reprimand;reproach;reprove,commend;endorse,,3,3,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rebut,,駁斥、反駁,,rebutted charges 反駁指控,repel;refute,,,3,3,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
reconnaissance,n.,偵察、勘察、事先考查,"exploration or a survey of an area, esp for military purposes",,,,,1,1,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
redeem,v.,贖回,sth (from sb/sth) buy back sth by paying the required sum; recover sth,His heroic act helped to redeem his past mistakes. 他的英勇行為幫助他彌補了過去的錯誤。,,,,4,4,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rehash,v.,老調重彈；換湯不換藥,to talk over or discuss again; to present or use again in another form without substantial change or improvement,"The author's latest book is just a rehash of his previous work, with only minor updates. 重新包裝再上市",,,,3,3,Mason 2000 PDF page 118 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
reiterate,v.,重申、反覆說,say or do (sth) again or repeatedly,"""And are you glad to see me?"" asked she, reiterating her former question.",,,,5,5,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
relish,n.,滋味 享受、喜歡,"great enjoyment of food, etc; zest",,,,"release: ""taste, flavor,"" alteration of reles ""scent, taste, aftertaste""",1,1,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
reproach,v.,責備、斥責,"sb/oneself (for sth) criticize sb/oneself, esp for failing to do sth",Mother reproached me for being too clumsy. 母親責備我笨手笨腳,rebuke,,,1,1,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
restive,adj.,不安寧的、焦躁不安的,restless or uneasy,The restive horse refused to move when the rider urged it forward. 當騎馬者敦促它前進時，焦躁不安的馬拒絕移動,restless,,,5,5,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
retaliate,v.,報復、回敬,"repay an injury, insult, etc with a similar one","President Donald Trump on Tuesday threatened to retaliate against General Motors for its decision to shutter plants and slash jobs by cutting the automaker's federal subsidies, including for electric cars.",,,,2,2,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
reticent,adj.,無言的、沉默的,not revealing one's thoughts or feelings easily; reserved,"He never wanted anything from life and was a quiet, reticent man.",,,,5,5,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
retrograde,adj.,逆行的,going backwards,Jupiter's retrograde motion is more pronounced than that of Saturn 木星的逆行運動比土星更加明顯,,,retro: 回,1,1,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
revel,,著迷、陶醉,,,,,,5,2,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
revere,v.,尊敬、推崇,feel deep respect or (esp religious) veneration for sb/sth,revere tradition,,,,4,4,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
ridge,n.,屋脊、山脊,raised line where two sloping surfaces meet; narrow raised strip,narrow mountain ridge 狹窄山脊,,,,3,3,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
rumination,,反芻、反思,,,,,,1,1,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
sabotage,n.,(暗中)破壞；妨礙,"damage done secretly to prevent an enemy, a competitor, etc succeeding, esp by destroying his weapons or equipment and spoiling his plans",The deal was sabotaged by an angry employee. // Russia has also reportedly instigated a campaign of drone sabotage against Ukrainian military bases.,,,,4,4,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
sarcastic,adj.,諷刺的、挖苦的,of or using sarcasm,a sarcastic critic 挖苦的批評家,,,,5,5,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
sardonic,adj.,嘲諷的,"expressing scorn, usu in a grimly humorous way; mocking",,,,,1,1,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
sartorial,adj.,衣服的、男裝的,of (usu men's) clothes or a way of dressing,the art of sartorial diplomacy 衣裝外交的藝術,,,,2,2,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
saturnine,adj.,憂鬱的、陰沉的,(of a person or his appearance) gloomy,,,genial(親切的),形似Saturday → 想到星期五過了，星期一要來了很憂鬱,5,2,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
savor,v.,v. 細細品嚐 n. 風味,"enjoy; have a distinctive flavor, smell, or quality",savoring the moment 享受這一刻,,,,4,4,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
scant,adj.,不足的；貧乏的,hardly enough; not very much (used esp with the ns shown),Ethiopian human rights boss battles scant resources.,,,,4,4,Mason 2000 PDF page 119 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
scathing,adj.,刻薄的、嚴厲的,severe; harsh,a scathing review,acerb;acerbic;acid;biting;caustic;cutting;mordant;pungent,,,4,4,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
schematic,adj.,概要的、圖解的,in the form of a diagram or chart,Schematic diagrams are often used to represent complex systems. 示意圖常被用來呈現複雜的系統。,,,,3,3,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
scintillate,v.,（才智）煥發、發出火花,give off sparks; sparkle,Her eyes scintillated with excitement as she opened the present. 她開禮物時，眼中閃耀著興奮,,,,4,4,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
scourge,n.,禍害；使苦惱，使痛苦,whip for flogging people,"rat scourge 鼠害 || The pandemic has been a scourge on the world, causing immense pain and suffering. 疫情是個禍害",,,,1,1,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
scruple,n.,謹慎小心、顧忌猶豫,feeling that prevents one from doing or allowing sth that one thinks may be wrong,She had no scruples; she would do whatever she wanted to. 她是一個毫無顧忌的人；她想要做什麼就做什麼,,,,4,4,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
scrupulous,adj.,謹慎小心的、一絲不苟的、正直的,extremely careful and thorough; paying great attention to details,I have been absolutely scrupulous in observing all the rules.,painstaking,,海關人員將箱子撕開來檢查 → 一絲不苟的、正直的,1,1,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
secular,adj.,世俗的,not concerned with spiritual or religious affairs; worldly,,,clerical(神職人員的),,5,2,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
serendipitous,,意外發現的,,unning into my old friend at the airport was a serendipitous encounter. 在機場偶然遇到舊朋友是一次意外的相遇。,,,"The name is from Serendip, an old name for Ceylon (modern Sri Lanka), from Arabic Sarandib, from Sanskrit Simhaladvipa ""Dwelling-Place-of-Lions Island.""",3,3,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
shackle,n.,n. 腳鐐 v. 束縛,"either of a pair of metal rings linked by a chain, used for fastening a prisoner's wrists or ankles together","Ortiz, who was shirtless and still had a shackle on one of his legs, dashed into the 14th Street subway station at Seventh Avenue.",,,,1,1,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
shading,,細微差異,,There are many fine shadings of status through the social hierarchy. 在各個社會等級之間有許多細微的身分區別,nuance,,,2,2,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
shirk,v.,逃避,"avoid doing (work, one's duty, etc) through laziness, cowardice, etc",,,,,1,1,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
shrewd,adj.,善於判斷的、精明的、敏銳的,having or showing good judgement and common sense; astute,Her brother is a shrewd businessman. 她兄弟是個精明的生意人。,,,數,4,4,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
shun,v.,避開、躲開,keep away from (sth/sb); avoid,She was shunned by her former friends after she went astray. 她偏離正道後，從前的朋友都迴避她,avoid;dodge;duck,,,5,5,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
sift,v.,篩、過濾,put (sth) through a sieve,,,,,1,1,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
skittish,adj.,易受驚的、易激動的,lively and playful; difficult to control,Investors turned skittish over the first U.S. case of Ebola.,restive,,,2,2,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
skulduggery,n.,欺騙、詐欺,deception and planning of evil acts; trickery,political skulduggery 政治欺詐,,,,1,1,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
slake,v.,平息、使滿足,satisfy,,,,,1,1,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
slapdash,adj.,草率的、倉促的,adv in a careless and hasty way,slapdash approach 草率途徑,,,,1,1,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
slumber,v.,睡、睡眠,"sleep, esp peacefully and comfortably",He awoke from a deep slumber.,,,,2,2,Mason 2000 PDF page 120 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
slur,,誹謗、中傷,an insulting or disparaging remark or innuendo : ASPERSION,,,,,1,1,Mason 2000 PDF page 121 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
snobbery,,勢利,"conduct by someone who pays too much respect to social position and wealth, or who despises people of a lower social position",Michel is a snob. 勢利眼,,,,4,4,Mason 2000 PDF page 121 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
somatic,,身體的、軀體的,pertaining to the body; physical,somatic cell 人類基因改造可以簡單分為身體細胞（Somatic Cell） 改造和生殖細胞 （Germline Cell） 改造兩大類 ，兩者背後的倫理道德考量大相逕庭。編輯身體細胞不會遺傳，被編輯過的基因只會存在於病人的特定細胞之內， 並不會遺傳到下一代身上,,,"somatic音讀""someone"" → 某人的 → 身體的、軀體的",3,3,Mason 2000 PDF page 121 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
